¿œΩ√,AVG_TEMP,MAX_TEMP,MIN_TEMP,DIFF_TEMP
2021-12-08,4.1,11.6,-1,12.6
2021-12-09,3.9,8.9,-1.1,10
2021-12-10,5.6,8.3,1,7.3
2021-12-11,6.8,9.8,4.5,5.3
2021-12-12,2.4,6.6,-2.7,9.3
2021-12-13,-2.4,1.6,-6.2,7.8
2021-12-14,1.4,5.2,-3.9,9.1
2021-12-15,4.9,8.7,2.7,6
2021-12-16,4.3,7.9,2.4,5.5
2021-12-17,-3.3,5.3,-9.3,14.6
2021-12-18,-5.1,-0.8,-11.3,10.5
2021-12-19,-0.1,2.8,-4.4,7.2
2021-12-20,4.3,9.3,-1.5,10.8
2021-12-21,5.7,10.8,0.8,10
2021-12-22,1.3,8,-3.4,11.4
2021-12-23,0.8,7.3,-4.4,11.7
2021-12-24,0.7,4.1,-2.6,6.7
2021-12-25,-8.3,-2.6,-12.2,9.6
2021-12-26,-10.8,-6.4,-14.5,8.1
2021-12-27,-7.8,-4,-13.3,9.3
2021-12-28,-3.8,-0.3,-8.8,8.5
2021-12-29,-0.2,4.6,-5.2,9.8
2021-12-30,-2.7,0.2,-5.1,5.3
2021-12-31,-5.6,-2.4,-8.8,6.4
